year,aluminum_usd_mt,lithium_usd_mt,cobalt_usd_mt,aluminum_usd_mt_yoy,lithium_usd_mt_yoy,cobalt_usd_mt_yoy
2000,1549.1408333333331,47240.598750000005,15184.461666666668,,,
2001,1443.6341666666667,23373.0,10907.9025,-6.810656874859111,-50.523489078342806,-28.16404862119467
2002,1349.915,23918.32416666667,6641.149166666666,-6.49189170155644,2.3331372381237614,-39.11616677297339
2003,1431.2924999999998,24774.3625,19668.67,6.028342525270092,3.5790063190394017,196.16365340385994
2004,1715.5408333333335,24362.196666666667,43914.12583333333,19.85955584433885,-1.6636788669469604,123.26942204700843
2005,1898.3083333333334,28217.537083333333,28947.551666666666,10.653637409776984,15.82509356367563,-34.081457578067464
2006,2569.8983333333335,43746.69666666666,31172.3025,35.37834124242198,55.033717285360176,7.685454227533706
2007,2638.179166666667,60068.482083333336,54341.50166666667,2.656946870142063,37.309755159418145,74.32623614077487
2008,2572.789166666667,68197.67083333334,70839.25583333334,-2.478603455982109,13.533201552724993,30.359400569871386
2009,1664.83,67684.04833333334,32088.125,-35.29085004050404,-0.7531378912561837,-54.702905017106396
2010,2173.1175,62852.18916666667,39368.27583333333,30.530895046341055,-7.138844802649091,22.687990754627553
2011,2401.3866666666668,61336.684166666666,35344.63916666667,10.504225688057222,-2.411220707016748,-10.220505169443639
2012,2023.2833333333335,64221.85083333333,28930.6875,-15.745208324079417,4.703819102491691,-18.146886820436492
2013,1846.6683333333333,65875.25666666667,27090.823333333334,-8.729128396912621,2.5745222410736845,-6.359559089864931
2014,1867.42,63926.87416666667,30780.7325,1.1237354478921935,-2.957684870753441,13.620513194689421
2015,1664.680833333333,65258.13166666666,28451.662500000002,-10.856645353839356,2.0824692546818513,-7.5666490392975465
2016,1604.1816666666666,97757.675,25463.368333333332,-3.634280244911803,49.80152281916133,-10.503056426550362
2017,1967.6541666666665,120987.06666666667,55832.17083333334,22.657814108751182,23.762217817339316,119.26467112461756
2018,2108.475,135280.34083333335,72911.23666666666,7.15678779934652,11.813886029691334,30.590008553163138
2019,1794.4883333333335,101415.38583333332,33177.63333333333,-14.891647596801782,-25.033168006075602,-54.495857085768804
2020,1703.9866666666667,75010.66916666667,31444.926666666666,-5.04331318212341,-26.036203924777567,-5.22251436459703
2021,2472.8483333333334,111234.22416666667,51235.51833333333,45.12134289000696,48.29120364133088,62.937312198109765
2022,2705.0191666666665,416957.76333333337,63764.71916666667,9.388801982059825,274.8466503515941,24.454131120172473
2023,2255.7391666666667,266930.7941666667,34275.041666666664,-16.609124457836554,-35.98133488804449,-46.247639580942256
2024,2419.016666666667,113585.22916666667,26326.828333333335,7.2383147135436365,-57.44768619848853,-23.189507428267152
2025,2631.695833333333,85304.62083333333,34917.0825,8.791967810611734,-24.898139080950777,32.62927861230529
