scenario,commodity,volume_mt,base_cost_usd,shocked_cost_usd,ppv_impact_usd
Strait of Hormuz Closure,Aluminum,50000,143776500.0,134316006.3,-9460493.699999988
Strait of Hormuz Closure,Lithium,5000,476283050.0,860500586.4350001,384217536.43500006
Strait of Hormuz Closure,Cobalt,2000,103745380.0,98174253.09400001,-5571126.905999988
China Supply Restriction,Aluminum,50000,143776500.0,146033791.05,2257291.050000012
China Supply Restriction,Lithium,5000,476283050.0,436180017.19,-40103032.81
China Supply Restriction,Cobalt,2000,103745380.0,87872336.86,-15873043.14
Global Recession,Aluminum,50000,143776500.0,85820192.85,-57956307.150000006
Global Recession,Lithium,5000,476283050.0,475663882.03499997,-619167.9650000334
Global Recession,Cobalt,2000,103745380.0,55783890.826,-47961489.174
EV Demand Surge,Aluminum,50000,143776500.0,174487160.4,30710660.400000006
EV Demand Surge,Lithium,5000,476283050.0,1352500977.0850003,876217927.0850003
EV Demand Surge,Cobalt,2000,103745380.0,140927724.19200003,37182344.19200003
Base Case (No Shock),Aluminum,50000,143776500.0,143776500.0,0.0
Base Case (No Shock),Lithium,5000,476283050.0,476283050.0,0.0
Base Case (No Shock),Cobalt,2000,103745380.0,103745380.0,0.0
